0.00s:  you
30.00s:  you
60.00s:  you
90.00s:  you
180.00s:  over
210.00s:  Let's now get into and start talking some markets.
215.00s:  So I already did a video a little earlier today,
219.00s:  because I want to say I wasn't expecting to do this,
221.00s:  and walking through my general thoughts
224.00s:  towards the broad market.
225.00s:  So I'm actually going to skip doing that.
228.00s:  I want to give you a really, really, really high level
231.00s:  market overview for those that didn't catch that video just yet.
235.00s:  And then I want to immediately dive into a focus topic for today.
238.00s:  So this funny enough, this is kind of like the main story.
242.00s:  Right now everybody is trying to figure out when does the market
249.00s:  either make a decision up or down, up or down.
253.00s:  Right now it's slowly leading towards down.
257.00s:  I don't think that it's necessarily from this.
260.00s:  The reason why I don't think it's necessarily from this is because
263.00s:  it's been this way, meaning the probability of no change for 29 Jan is
267.00s:  been like that for some time now.
269.00s:  We can see even as a month ago, it was a 78% probability of no change.
274.00s:  If we look at a chart of this, one sec, let me switch my screens over here.
280.00s:  If we look at a chart of the S&P 500 and we take a peak at what was this
285.00s:  a month ago, we were still near all time highs when this was telling you
291.00s:  we're not looking at a change.
295.00s:  That matters.
297.00s:  And it's because all of the conversation, the focal point on this,
301.00s:  being the thing that's driving the market, of course,
303.00s:  it will always be a continuing component of it.
306.00s:  But right now I think the market is figuring out what stuff is worth
311.00s:  and what does this next year look like.
313.00s:  And again, if you go through the video earlier today,
315.00s:  you notice that we don't have the majority probability of a cut until 18 June.
322.00s:  And it's a slight margin, literally 51% and still 48% probability of no change.
330.00s:  It's all the way out in 18 June.
331.00s:  The market's not expecting a cut and it's not expecting it for some time now.
335.00s:  This also very clearly explains the behavior that you've seen in IWM.
340.00s:  Because again, if we go back a month in IWM to about the 13th, what do you notice?
345.00s:  This is when that probability of no change started to expand a little more rapidly
351.00s:  and take a look at what small caps have done since they've taken a break.
355.00s:  They've fallen off.
357.00s:  So this all wraps up into a pretty clear summary, I think,
363.00s:  of what current market expectations are and we're coming into earnings now.
367.00s:  So what that means is we have to think about how do we want to position coming into earnings,
373.00s:  what makes sense for the portfolios?
376.00s:  And if we grab a look really quick at the calendar, we have APLD tomorrow.
384.00s:  We have banks kicking off Wednesday before the market.
387.00s:  So we have BK, CGS, GPM and Wells Fargo who don't worry Wells Fargo will probably do well
394.00s:  because they'll open up some accounts for you.
396.00s:  They're real, real good at that.
398.00s:  And I mean, let's just let's just take a look through a couple of these really fast out of sheer curiosity.
405.00s:  I'm going to shrink this down a lot so that we can see this list while I do this.
414.00s:  So let's take a look first at BK, just at a curiosity.
419.00s:  And I mean, they've been beating to the top side.
424.00s:  Their average implied moves about 3.8% average actual 3.2.
428.00s:  So this is a decent earnings place.
430.00s:  It's not the most liquid choice out there though.
432.00s:  Then there's BOK.
436.00s:  And these guys have been doing pretty well as of late.
439.00s:  Yeah.
440.00s:  These also, this is another one that I tend to trade earnings in.
443.00s:  My earnings place have come down quite a lot just because the total number of stuff that looks attractive has changed.
449.00s:  But this has been a pretty consistent one as well from here.
453.00s:  But one of the things I'm trying to highlight for you is what is the expected move for this quarter compared to prior quarters.
459.00s:  And you can see that there's a little bit more vol right.
461.00s:  So 3.3% priced in to be OK.
464.00s:  It was a little bit high for BK.
466.00s:  Let's take a look at city group.
468.00s:  Did a group suck and wind.
470.00s:  They need to open up some fake accounts for people.
472.00s:  This surprises me to see city group price so low.
474.00s:  I actually don't know why that is.
476.00s:  That might need to get reprised or they're just being cheap with the ball.
482.00s:  Look at Goldman Sach.
483.00s:  Look how big this is like really significant.
487.00s:  Expect look at this 4.2% expected move averages 3.9.
492.00s:  The prior was 3.8 before that 3.2.
495.00s:  And then if you go year over year.
498.00s:  3.3.
499.00s:  So what I'm showing you is that the banks are pricing in more of all like that's what's that's what this is telling us.
505.00s:  And the banks really represent a large portion of the total market.
512.00s:  And it's because banks touch just about everything just like Bill Cosby.
518.00s:  So their businesses will interact with just about every other business that exists out there.
526.00s:  So the fact that banks are pricing in this kind of all I think is something to pay attention to.
534.00s:  Yeah, even JP Morgan.
536.00s:  JP Morgan's a little bit more of like a stalwart.
539.00s:  That's the right word stalwart stalwart stalwart.
544.00s:  Sounds weird when I'm saying it.
545.00s:  Why does it sound so weird?
547.00s:  Fuck am I trying to say stalwart stalwart stalwart stalwart stalwart stalwart stalwart stalwart.
561.00s:  Not the one I'm seeing the word.
563.00s:  It's not what I meant anyways.
565.00s:  What I meant is like the kill of a ship.
