0.00s:  What's up everybody?
4.40s:  Let me know if you guys can hear me.
7.96s:  We're using hotel Wi-Fi, so it might be a little sketchy, but let me know if this is working.
17.40s:  Looks like so far we got Scott.
20.92s:  So that's good.
29.92s:  Is this thing working?
33.92s:  Perfect.
34.92s:  PFA, can you hear me?
37.92s:  Making sure that we're alive and well, otherwise I can hotspot from the phone if I need to.
42.92s:  Okay, perfect. Thank you, Lauren.
44.92s:  Looks like everybody else was just playing games and gonna let me fucking sit here and figure it out on my own.
51.92s:  So no thank you for whoever's doing that.
56.92s:  Awesome.
57.92s:  So first things first, I got to grab a couple links for us and we're gonna run through.
65.92s:  We're gonna run through some more of DFVs kind of due diligence that we've seen, not just about DFV I guess, but just broader game stop due diligence.
77.92s:  So I'm just grabbing a bunch of links right now so that we can float through them and take a peek together.
84.92s:  So first let's just talk about GME though because I did a video yesterday on it and it looks.
92.92s:  I mean, I love that it's consolidating up here.
96.92s:  It opened, it had a high of 2980 low of 27, so it's like a really, really inside day here, but I don't even really think that matters that much.
106.92s:  I think the fact that it's still hanging out up here and it's not necessarily being done on crazy high volume or anything.
116.92s:  I think I've been telling you guys I think that's a good thing because it really needs I think is much.
125.92s:  As much support up here is it can get so we also got the John here, we got Dirt Shlup great to see you all.
134.92s:  We had to start a little bit earlier tonight just because of some schedule and stuff.
139.92s:  So thank you guys for being flexible popping on early.
143.92s:  Let me grab our GME map to start because I got to make sure that we have this fully up to date with anybody that's.
154.92s:  Die one in need to know where you're from or here's our GMU.
161.92s:  So if you are dialing in, let me know where you're from.
168.92s:  And in the meantime,
171.92s:  while I'm starting to fill this in and whatnot.
174.92s:  Okay, that water tastes weird.
177.92s:  Do you like this water?
182.92s:  It's fucking weird.
185.92s:  So we have like this weird water from this hotel.
190.92s:  It's supposed to be a BPA free liner, which I guess sounds good, but it tastes weird.
200.92s:  Yeah, not a big fan.
205.92s:  Cool. So let's take a look at this while we're waiting for anybody to chime in with where you're at.
211.92s:  And we'll get that on the map.
214.92s:  We have earnings coming up.
217.92s:  And I think Lauren says missing that plastic taste.
221.92s:  Yeah, I guess maybe that's it.
223.92s:  Maybe the BPA free is the problem.
226.92s:  Maybe I need the BPA.
228.92s:  And then it looks like shown us from Maui.
230.92s:  I think you might actually have a friend here. Yeah, you do. See?
233.92s:  So we have almost it was you that told us previously.
237.92s:  But we have we have attendance from Maui so far.
241.92s:  So Sean, I don't know where in Maui you are with somebody else's from there too.
246.92s:  So you could phone a friend, make a friend.
249.92s:  We still need Madagascar.
251.92s:  I don't know when your guys's travel plans are going to take you to Madagascar.
255.92s:  But that's pretty high on the hit list for me.
257.92s:  We already have New Zealand, which is sick.
259.92s:  I also think what would be good is Tasmania.
264.92s:  Because Tasmania just seems like a cool ass place.
268.92s:  And then obviously we're still trying to get Iceland.
273.92s:  Jotato says I will move to Madagascar for the team.
275.92s:  That's it. That's really all I'm asking is for people to,
278.92s:  to not be selfish and to do things for the for the greater good here,
283.92s:  which obviously me being able to fill this map in this arbitrary map
288.92s:  that really doesn't necessarily mean anything.
291.92s:  That's a super high priority.
293.92s:  Also fun fact with the,
296.92s:  with the spot that we're in right now,
298.92s:  we have a perfect view of JPMorgan and nobody's working.
303.92s:  So there's going to be light off soon because investment bank
307.92s:  is supposed to be grind until you die.
310.92s:  And I'm looking at a bunch of empty desks right now.
312.92s:  There's literally nobody there grinding.
314.92s:  They got the lights on nobody's home.
316.92s:  So yeah, I don't know what that's all about.
319.92s:  And then we have some neighbors across the way that it looks like they're watching a cartoon.
324.92s:  A cartoonist city living's not for me.
327.92s:  I don't like being able to see this much shit.
331.92s:  SAS has been watching for a while.
333.92s:  Just curious, do you hold a long position in GameStop yourself?
337.92s:  It yeah, so it's kind of ebbs and flows.
339.92s:  So I've already kind of talked to you guys previously about holding a position
344.92s:  just for kind of participation sake and then trading around it is a slightly different thing.
351.92s:  But yeah, GameStop is one of those stocks that has a ton of movement potential.
357.92s:  And from pretty much any sort of trading perspective,
361.92s:  that's a net positive because things that have more volatility,
365.92s:  like you see here, you can trade things like the volatility in it,
368.92s:  you can trade the price movements, all that kind of stuff.
372.92s:  So it's like really, really interesting in that way because it'll grab trends
379.92s:  and run a trend for a little while.
381.92s:  And that's one of the things I try to talk to people about it's because it's not like GameStop is relegated to just its squeeze behavior.
391.92s:  It definitely has squeeze behavior. There's no doubt about it.
393.92s:  But that's not the only thing that it does.
395.92s:  It has a lot of other price behavior that I genuinely find interesting.
400.92s:  Because if we zoom this out a little bit further, come out to a year,
404.92s:  you can trade this thing from a lot of different directions on short-term timeframes.
408.92s:  So it can have these big massive runs, it can have contractions,
412.92s:  it can have sideways periods for volatility, a lot of sideways periods.
416.92s:  And the interesting thing about the sideways periods is that you're kind of inventorying risk
421.92s:  if you're trading it in more of a price neutral flavor,
427.92s:  which is a lot of people do that with something like this because of how volatile it is.
