0.00s:  What's up outliers?
3.56s:  Couple of seconds late, how to finish doing a little stretch routine.
8.26s:  Try to recharge the old sciatica.
10.84s:  Every once in a while I have to lay down for a little bit and try to reset the clock
15.20s:  on it before it starts hurting like a mother.
19.04s:  What's up everybody?
20.72s:  I hope we are off to a great week.
25.28s:  The, I don't know, last trading week was pretty interesting.
28.28s:  I got to say.
29.68s:  So I'm excited to talk a little bit about that.
32.88s:  And we have a couple of questions that were sent in that I want to make sure we hit also.
39.88s:  There it is.
41.68s:  Like I couldn't see my stuff for a second.
44.64s:  Looks like we are up and running.
47.16s:  Perfect.
48.88s:  Sweet.
49.88s:  So let me grab.
51.04s:  There is actually a comment.
54.04s:  There was a comment on the post that I want to hit.
61.40s:  It was a great question.
64.00s:  So for those that don't know when we use the YouTube studio for some reason, it doesn't
68.20s:  let me see community comments.
69.76s:  I can only see it on my phone.
71.76s:  I'll just read it from the phone.
73.80s:  So agenda for today, pretty simple.
76.88s:  What I want to cover first is we do have a quiz that I want to work through with you all.
82.68s:  Then I want to take a look at, well, I guess we'll start with some of the questions.
86.68s:  Then we'll do the quiz.
87.92s:  And then we'll kind of navigate around depending on what conversations come up and what capacity.
92.84s:  So this session is kind of like the last few.
96.00s:  We're pivoting away from the really structured learning components.
99.96s:  If you've missed any of those, go back to the first episode in this whole playlist.
104.60s:  And we have literally like a comprehensive rundown of what we've learned so far, which
112.24s:  was in the beginning very, very structured.
114.04s:  You know about like the basics.
116.16s:  So let me grab this chat so I can say hello to everybody.
127.52s:  And it looks like Reese's here, Shrej is here, Dr. Zayas Joey Pollo, H Jonathan and Mary
139.36s:  Shell.
140.36s:  Beautiful.
141.84s:  We got the gang in town.
143.48s:  Mary Shell, where's the quiz?
144.72s:  I will post it into the chat.
146.32s:  So we will look at the quiz together.
148.72s:  It's designed that most of the questions are going to be open.
151.60s:  I like open-ended questions.
152.92s:  I don't like multiple choice.
154.60s:  I know that they're easier for like a teacher to grade.
157.56s:  But in order to evaluate a thought process, it's much harder to navigate the nuance of
161.72s:  things.
163.08s:  So yeah, that's why it's a little bit different.
166.60s:  And so here's the first question that I do want to hit.
169.44s:  I'll throw it out to the chat again.
170.92s:  I have to pull it up on the phone because I can't get it from the studio.
175.52s:  And it says, this is from Lord Slothable, which is a fantastic name.
182.68s:  We have to give a shout out to Lord Slothable.
185.52s:  And they say, I'm having trouble figuring out the difference between a covered option
192.28s:  and a single option where there is only one leg in the strike.
196.96s:  Now the last part of that only one leg in the strike, that doesn't make sense, which
200.80s:  we'll talk about.
202.48s:  But we can definitely grasp onto the meat of this question, which is a covered option
208.28s:  versus a single option.
210.80s:  So first thing for you, Mr. Lord Slothable, is a covered option and a single option actually
221.44s:  are not disparate things.
223.68s:  And we'll take a look at an example together.
228.24s:  So if we're trading TLT, just because that happens to be what I have up right now.
233.56s:  And if we look at a single option, we can do essentially four things for a single option.
240.08s:  We can come in here and we can buy a call.
244.44s:  We can sell a call.
246.88s:  We can buy a put.
249.44s:  Or we can sell a put.
250.84s:  Those are all single options.
253.96s:  Now all of those single options can have different risk profiles that make them covered or uncovered,
263.92s:  which for uncovered, we've referred to that as naked.
269.20s:  Those are really the two buckets.
270.72s:  So you can have a single option that's either covered or naked in its context dependent.
278.80s:  So an example of a covered option is if I go in here to sell this put and I have the
285.40s:  cash set aside to buy 100 shares at my strike price.
291.88s:  That would be covered.
293.88s:  Another example of a covered option, you wouldn't really refer to it as a covered option,
298.48s:  but it inherently is so is if you buy that put.
302.48s:  It's covered because as soon as you pay your debit, that's your max risk on the trade.
309.60s:  It can't lose more than that.
310.96s:  That's all there is to it.
312.92s:  Now you can have another scenario where if we sell this put and we have a stock position
323.04s:  that actually covers us technically or you can do the same thing on the call side.
329.04s:  So if I sell a call and it's just a short call, we would call that a naked short call.
338.36s:  And that means that we don't have any underlying to cover it.
341.92s:  It means that it's just a naked short call.
344.16s:  It's an option that's out alone and unafraid.
