0.00s:  What's up everyone?
2.76s:  How is everybody doing out there?
5.84s:  What's going on to the outliers?
7.84s:  We have another options trading for beginners segment
13.00s:  on the docket for today.
16.20s:  So the goal for this session I have for us right now
21.32s:  is to take a much closer look at the end-to-end process
27.68s:  of building a trade.
28.88s:  So excuse me, we got a bunch of Celterwater.
32.32s:  Right now we're doing, what is this one?
35.56s:  Strawberry watermelon, this one's pretty good.
37.64s:  I like this one.
40.56s:  I guess I'm just on a watermelon vibe
42.16s:  because my backup one is just regular watermelon.
45.48s:  We go through Celterwater here pretty much perpetually.
50.84s:  Tons of it.
52.68s:  As for always, I'd say hello to who we have.
54.68s:  Hang in out.
55.52s:  I'm C. Jim Pollo, J. and Elon's songs.
58.40s:  Great to see all of you.
60.76s:  And let's do a quick overview of what this is going to look like.
64.24s:  So so far with this entire options trading segment
70.24s:  for beginners, we've gone through a lot of different things.
73.76s:  And I want to talk about the broad context first.
79.60s:  We're not going through this whole deck,
80.88s:  but I just want to talk to you about a couple pieces.
84.32s:  So here's the deal.
85.96s:  There's a bunch of things that go into trading options.
89.16s:  First, we need to understand the economy to a degree,
92.36s:  the stock market.
93.56s:  We need to understand how options behave,
97.52s:  the fundamentals behind options.
100.04s:  And then we have to start getting to a point
101.68s:  where we're pulling together this information
104.24s:  into a comprehensive, I guess deployment of them.
111.04s:  You have to pull a lot of things together
112.52s:  to make this whole thing work.
114.20s:  So the goal behind this is to spend a little bit of time
118.48s:  going through what that looks like,
120.84s:  what the actual process is to come up with an idea
126.96s:  and then to start trading it.
128.60s:  Because over the course of a trading career,
131.76s:  it very infrequently, some people,
134.12s:  they do hit these one-off wonders
136.04s:  that change their entire lives straight from the jump.
138.64s:  And then that's essentially what they're using
141.16s:  for their primary wealth going forward,
144.48s:  meaning essentially hitting the trading lottery
146.32s:  is what that's equivalent to.
148.36s:  But for most of us, it's not like that.
150.60s:  Most of us, it is a long process,
153.48s:  and for some of us, at least like me,
155.28s:  I want it to be a long process.
156.60s:  Not so much I'd love to have dozens of millions of dollars
161.00s:  right now.
162.32s:  That would be pretty sick.
163.92s:  But I think I also enjoy markets
167.16s:  in the process of trading.
168.52s:  It's very engaging and it's one of the coolest ways,
172.24s:  genuinely, that I have found to learn about the world around us.
177.52s:  So that is in a nutshell,
180.44s:  what I want to spend most of our time on today
183.24s:  is working through this broader context
187.00s:  of how to essentially build a trading plan
191.40s:  and how we can find ideas, build strategies.
195.40s:  So taking a quick step back from that, though,
199.04s:  with all of the stuff that we've talked about so far,
203.60s:  there's been a lot of details.
205.24s:  So I do want to offer an opportunity
208.28s:  if there are any specific questions
210.92s:  or if there's any specific topics
213.56s:  that we've covered up to this point
216.32s:  that you want to talk about.
218.08s:  And I am happy to start there, do a quick catch up.
223.12s:  And it looks like we had a couple more people
224.48s:  popping in, I see doku doku doki.
227.32s:  That's a fun name.
229.48s:  Pat Hader, Jim Reese,
232.88s:  Ruda Bega, bean gaming, that's a fun one.
236.92s:  Pat says not to be that guy,
238.16s:  but saw RKDFV type options by 719 Siri.
243.84s:  We could do that towards the end.
245.28s:  Yeah, I have no problem taking a peek at that,
248.00s:  but I want to keep the beginning session
250.76s:  a little more focused on the fundamentals.
254.00s:  I also think it's really difficult
256.40s:  to actually identify like the RK,
260.92s:  which is Rory and Kitty for those that don't know,
263.08s:  like his buying habits, right?
266.12s:  So it could be him, it could not be him,
267.60s:  I haven't looked at Siri at all.
268.72s:  I have no idea at this point.
269.84s:  I looked at it last weekend,
271.40s:  but happy to either take a look at it later today
275.88s:  and see what we can maybe piece together.
280.56s:  Ben Waz here, fly high and enjoy, that's a fun one.
284.12s:  And then Jaden, sweep.
285.72s:  All right, so I'm not seeing a bunch of catch up questions.
288.92s:  So I think that that means that we can get more into,
292.16s:  ah, there we go, Reese, perfect timing.
295.16s:  Daniel, good to see you as well.
296.68s:  Reese says how important is margin?
298.52s:  It's a great question.
300.44s:  And in terms of importance,
