0.00s:  Great success.
4.16s:  Yeah.
5.16s:  That was really weird.
8.24s:  Earlier today I had a couple issues with this stuff too.
13.40s:  Now the one thing I am always supremely confident in though is that I'll be able to figure
19.00s:  it out.
20.00s:  I never fear not being able to figure it out, but sometimes it's a little convoluted.
31.00s:  Awesome.
32.00s:  So it looks like we have the whole gang in town.
41.00s:  First things first, we have to update our app map and we actually have, let me see.
55.00s:  I think from the last video, we had a bunch of people, we had a bunch of people from all
63.12s:  different spots.
69.32s:  Let me grab, grab in the comments from the last video that I can update it for us.
77.92s:  And then as always, if you are dialing in from somewhere, let me know where.
85.00s:  And then I can add you to, okay, here we go.
88.92s:  So we had Lithuania, that's kind of a fun one.
93.20s:  That was not on our map before.
95.88s:  That is from smile up drone, that's fun.
100.52s:  We have cork Ireland.
104.36s:  Which we had not had before.
107.32s:  We have Cyprus.
110.32s:  That's a.
115.24s:  I also did not know that there was a Cyprus in London.
118.48s:  Did you guys know that?
125.28s:  And then we have Delaware beautiful.
127.64s:  So we got, we're all updated on our spots.
131.56s:  We are ready to rock and roll.
133.36s:  A little bit of a bumpy start, but we're here ready to move it along.
137.20s:  We have a Largo Florida.
139.88s:  Let's find Largo Florida.
145.96s:  Add that.
146.96s:  And then specifically with this, let's take a second and go visit your hood.
157.00s:  I like to do this.
158.00s:  I don't really know why I like to do this, to be honest, but I do.
160.92s:  And let's go to Largo Florida.
171.56s:  Close this.
174.04s:  And we're just going to cruise around your hood a little bit.
179.00s:  Where do you guys want to go?
185.96s:  Do you guys want to go to Belier Beach?
188.48s:  Yankee Club?
190.48s:  Clear water I've been to?
193.40s:  Indian shores?
194.40s:  Where should we go?
196.92s:  Let me know what kind of creep and we're going to do around Largo to see where Trippie
202.40s:  Micah's from.
203.64s:  And then for the agenda today, we're going to work through some of the due diligence,
207.40s:  but actually the thing I want to start us off with is going to be peaking at Max Payne.
212.72s:  I want to talk a little bit about Max Payne, especially with the clothes that we had on
216.60s:  Friday.
217.68s:  I think it's pertinent.
222.44s:  No preferences for where we creep around.
227.52s:  Somewhere on the peninsula, okay?
229.00s:  Let's take a look at Belier.
232.92s:  This is like very normal Florida vibes.
242.48s:  Very very normal Florida vibes.
248.12s:  It's interesting because like the coast in Florida is so different than the coast in California.
255.84s:  It's wildly different, which I always find very interesting.
261.92s:  Yeah, the beach is always very flat.
266.32s:  There's no waves.
268.52s:  And another thing I always find in Florida is that there are like this greenery.
273.40s:  I forgot what it's called, but that's that breakdown space.
279.92s:  It has a specific name.
281.08s:  I literally just don't remember what it is.
283.96s:  What is it called?
286.60s:  And there's certain kinds of plants and stuff that live here.
295.00s:  Yeah, this looks like very standard Florida.
299.44s:  I was there not too long ago visiting, well, being, oh, that's pretty.
305.12s:  You can just see the humidity.
309.52s:  Very cool.
310.52s:  All right.
311.52s:  So now we know what it's like around.
316.40s:  Largo, Florida.
317.80s:  We were looking at Mel and I when we were looking at moving, we were potentially looking
321.60s:  at St. Petersburg for a little while.
323.72s:  I remember that popped up on the list.
