0.00s:  What's up, outliers?
1.64s:  Let's talk about how to literally revolutionize your trading with reframing the way that we
7.44s:  think about how we're placing positions.
9.72s:  We're going to talk about profit mechanisms.
12.12s:  This is just a framework in a way of thinking that I've developed over my last 18 years
18.48s:  in the markets.
20.56s:  Nothing you're going to see here is novel, revolutionary, secret proprietary.
25.04s:  This is all just basic stuff that most of you probably have bits and pieces, but I want
31.20s:  to show you how in my brain I pull all of this together to make smarter trades that make
37.68s:  more money.
39.00s:  So what's up, outliers?
40.96s:  Let's get into why you should care about what we're about to talk about.
46.72s:  So first, let's start with a scenario.
51.08s:  And we have to start with the basic understanding that our performance as traders is literally
56.40s:  a reflection of what our skill level is and what our strategies produce over time.
64.56s:  The reason why this is important to note is because if we get into this very first
69.16s:  scenario and we have a trader that is built a strategy that's designed to profit from
75.88s:  expanding volatility and they choose to buy a call, then the trade makes money.
84.48s:  So in this case, we don't know yet if the stock went up or a volatility expanded, but
90.48s:  at this point, most traders are happy with the scenario because they made money.
99.08s:  What's the rub?
100.40s:  So the question we have to ask ourselves is do I care if I made money because volatility
106.88s:  went up or because price went up?
110.24s:  And the answer to any discerning trader is absolutely if I built a strategy that's designed
119.72s:  to make money from expanding volatility.
123.12s:  And in this scenario, I happened to make money because price happened to move in my favor.
131.60s:  That is pivotal information because it informs how my strategy performs.
138.76s:  In this example, just because price went up, that actually could mean that the volatility
145.00s:  in this trade contracted.
147.00s:  So it means based on my idea, I was actually wrong, but I made money because the stock went
153.52s:  up.
154.52s:  So the reason why this is so important is because traders that are happy with making money
158.60s:  regardless of the way that they made money when they're building an options trade, they're
162.32s:  not going to be around for very long because they're going to think, oh, wow, this worked.
166.32s:  Let me do more of this.
167.32s:  Let me scale this up.
169.28s:  Meanwhile, the actual idea that they were trying to express literally was wrong.
175.40s:  That's dangerous.
177.48s:  So now let's talk about what the hell a profit mechanism is.
184.56s:  So for those that are familiar with the video that I did a while ago about the outlier
189.36s:  strategy process, again, this is just a way of thinking.
192.72s:  There's nothing novel here.
194.32s:  But the very first step of this is understanding and identifying profit mechanisms.
203.48s:  So if we look at this more broadly and how this fits into the scope of things, profit
208.20s:  mechanisms lead into the way that we analyze things, the way that we match fitting option
216.80s:  structures.
217.80s:  And then ultimately, the way that we build strategies that can take the most advantage of the
223.76s:  profit mechanism.
225.28s:  So we're going to talk about this more in detail.
228.00s:  So let's now get into examples of profit mechanism and profit mechanism types.
236.88s:  The idea behind this is I want to give you some context on how you can integrate this
242.00s:  into what you do as a trader.
245.20s:  So let's start with some basics.
248.32s:  The first one we have here is price direction up.
252.12s:  This is pretty straightforward.
253.76s:  This means if we're looking at a stock and it goes up, we make money.
258.08s:  So if we pop over to a chart, this is an on demand.
261.68s:  This is looking back in time, looking at so far.
264.16s:  But price direction up, something goes up, it makes money really, really straightforward,
268.32s:  right?
269.32s:  However, you will notice that there are different magnitudes, different behaviors that
274.16s:  things go up.
276.56s:  So what are the types of price direction up profit mechanisms?
281.56s:  Simple.
282.56s:  We have things like breakouts.
284.44s:  We have things like drift, momentum, value investing.
288.44s:  We have things like mergers and acquisitions.
290.32s:  We have things that are news driven.
292.48s:  Maybe there is a new piece of information related to a company.
295.88s:  They have a new product launch that then causes price to move.
300.48s:  We have to think about each of these separately over time because the way that we might trade
306.28s:  something like example value compared to breakout is very different.
312.76s:  Now, in this example, you might be able to make money in either scenario if you buy a
317.88s:  call that's, maybe it's a leaps, something that's longer than a year.
322.16s:  You can make money in either scenario, but you can maximize how much money you make if
326.84s:  you differ between these.
329.28s:  So another example here would be something like price direction down.
334.20s:  So these are trading things like breakdowns, things with negative drift, negative momentum,
337.88s:  news driven, a great example of a news driven downside trade is if we pop over the platform.
343.40s:  This is still back in time, but I think this will be in here, which was crowd strike.
349.08s:  And if we take a look, funny enough, it's right around the time frame we're going to use
352.24s:  for the example later.
353.96s:  And this is when they had that systems issue that caused a lot of problems.
358.68s:  That's a news driven event that ended up causing crowd strike to crater, understanding
365.04s:  how news can impact stocks again leads to different kinds of tradable ideas.
371.44s:  Now different kinds of profit mechanisms at a high level, volatility expansion, volatility
377.20s:  contracting, transitory volatility, meaning as it's moving between clustering, variance
382.32s:  risk premiums, which is the prevalence for volatility, implied volatility to trend
386.92s:  elevated compared to historic volatility, especially in indices, especially on the
391.16s:  put side.
392.16s:  The fact that there's typically more volatility on the put side than the call side, different
396.56s:  market inefficiencies as in how quick it takes things to be priced in.
401.52s:  There are all different kinds of profit mechanisms that exist.
405.28s:  And if you're curious about how to find some of these, you can just go into SSRN and research,
412.20s:  come up with just some basic key terms stock market, stock market profit and breakouts,
419.68s:  momentum value, come up with all these different terms.
422.36s:  And look at what research is existing.
425.20s:  You don't have to reinvent the wheel here.
427.56s:  Then you can take some time to understand some of these different subtypes.
432.60s:  Because for example, again, the way that I trade a breakout is different than the way
437.04s:  that I trade something like momentum.
439.20s:  And I want to show you that concept now, but a quick recap on what you know so far,
445.84s:  that being correct on a trade, meaning it's made money, is not good enough.
451.28s:  You have to also be correct and able to track your ability to be correct with respect
456.88s:  to the actual profit mechanism you're trying to profit from.
460.12s:  There are all different kinds of profit mechanisms and then all different kinds of profit mechanism
464.92s:  types.
465.92s:  The reason behind breaking things down this way is so that you can more accurately identify
473.36s:  what you're making money from.
475.88s:  This is a really important function.
478.24s:  So now let's get into an example of how to actually integrate this whole thing into a
483.24s:  process.
484.56s:  And it's also pretty simple.
486.16s:  Now let's start with the price direction up profit mechanism, meaning we make money
492.28s:  as something goes up.
493.84s:  And for the example that we're looking at, we're going to eyeball a breakout.
498.84s:  The qualities associated with breakouts, you have to look at them for yourself and see
505.40s:  what you find.
506.88s:  Now to give you some, you know, I guess read ahead notes on what you will find.
