0.00s:  What up ape outliers? It's kind of a specific class of us, I suppose.
6.00s:  I kind of grabbed my dog because he ran over and I thought he wanted to say.
17.00s:  Here's the mascot. He's here ready to rock and roll. So he and I, we were reading a couple studies.
24.00s:  We got some feedback. So we were reading a couple studies recently about
31.00s:  GME and the off exchange routing volume and decisions.
39.00s:  So I want to spend a little bit of time taking a look at that with you guys today.
43.00s:  He gave me a bunch of good things to pay attention to.
46.00s:  So I thought we would start there. And then I want to take a look at Rory and Kitty's old trades.
53.00s:  And then specifically the options and how he set them up. I'm trying to develop more of like a fingerprint as I like to call it.
61.00s:  Of his behavior. Do you like mango?
66.00s:  Do you like mango?
68.00s:  I guess.
69.00s:  Seems like yes. All right. So the or likes mango is what I've recently learned.
74.00s:  And then. And then yeah, I want to talk a little bit about the recent price behavior behavior.
80.00s:  And.
83.00s:  We're back at it. Just a technical difficulty real quick.
89.00s:  And yeah, so then for the rest of the stream or anything like that.
95.00s:  If there's anything that you guys want to take a look at, just let me know.
99.00s:  And we will we will go left go right go whichever direction you all want to take this stuff.
106.00s:  I need to I think turn to volume.
109.00s:  How's the volume for you guys? Is it coming through? Okay.
113.00s:  I was thinking I might need to raise it just a little bit.
117.00s:  I can't tell.
118.00s:  All right. Let me grab this chat.
122.00s:  Just instead of if there's time could you take a look at Rory and Kitty's charts? Yeah. Of course.
127.00s:  So.
129.00s:  Lasidio says it's good. Zach says good. Justin says good. That is three greens for go.
136.00s:  Means we're in rock roll. All right. Cool.
138.00s:  So I'm moving the child over here so I can keep an eyeball on everybody. And as always, I like to say hello to whoever's hanging out.
145.00s:  So we got said trick, which is a hell of a name. Zach.
149.00s:  The crowd favorite roaring titty. Always my favorite.
153.00s:  It looks like Ryan Cohen tweeted again. So let's take a quick look at X.
163.00s:  And let's see what our boys up to.
167.00s:  Ryan.
169.00s:  Oh, and.
174.00s:  All right.
177.00s:  So we're working with here.
180.00s:  Kamala.
183.00s:  That's.
192.00s:  That's so funny.
195.00s:  The dude is just having a good time. You got it. Like I don't know. I love him for it because if I think you guys are the ones that told me that he.
203.00s:  I'm pretty sure you guys told me that he's fucking Canadian. So I don't even think he could vote.
208.00s:  So the fact that he's playing all these games is obviously just he's just messing around.
216.00s:  Which I'm I am completely here for.
221.00s:  All right.
224.00s:  So it looks like the tweet that we have here is a Kamala Grande iced mocha with almond milk cookie crumbles.
234.00s:  And then the Trump 2024 is the Grande iced Americano. And that's it.
241.00s:  Polaris big fan.
243.00s:  Zach says I love that a CEO can just be politically incorrect.
247.00s:  So the funny part about that I think honestly is the fact that I think especially in general people are starting to get a little bit tired of how it feels like there's a lot of landmines with respect to speech.
261.00s:  Like if you say something you say something the wrong way that all of a sudden there's a bunch of problems and it's kind of just like backwards in my opinion of the some of the ideas of free speech, which is if you say something that's fucked up.
275.00s:  People have the right to not like you and that's that like that's it's a completely viable agreement.
284.00s:  In case you guys don't know.
286.00s:  I'm a Celterwater kind of sore and today I'm indulging one of my favorites, which is these are literally from Iceland.
295.00s:  This is a Mexican lime crystal. I like it. It sounds like a stripper some sort of stripper beverage, but it's literally just a seltzer water and it's like the best seltzer water I think ever.
308.00s:  Hey, there's a hundred of us in here shout out to you guys shout out to the ape outliers.
314.00s:  Listen to you says it's green. We can't see it. I don't have a green screen. So I'm wearing green.
320.00s:  That's interesting. So the silver part comes through.
324.00s:  What if I put my hand behind it? That works.
329.00s:  Huh, check that out.
333.00s:  That's kind of nuts that I can just zoom in. And then if I put it in front of my face, can you see my face through it or no? No.
340.00s:  It kind of blocks it all out.
343.00s:  Not a technical guy. As you can tell, I am about as simple as you all are and I was just very interested in how that worked.
353.00s:  But I'm going to enjoy my crystal all the way from Iceland.
359.00s:  All right. So let's let's dig in, shall we?
367.00s:  I mean, the trick says, can you see my face through it? Yeah. I mean, these are the these are the questions that I have.
372.00s:  Like I said, I'm a simple man. I like simple things.
376.00s:  All right, let's kill this down. And what do you guys want to do? Do you want to start with looking at GameStop as it sits today?
382.00s:  Or do you want to start going through some of the nerd stuff that I was looking at before?
387.00s:  Whatever sounds better to you sounds good to me.
391.00s:  And like I said, the other thing I want to take a look at is some of Roaring Kiddy's old positions.
