0.00s:  you
30.00s:  you
60.00s:  you
90.00s:  you
120.00s:  you
150.00s:  you
180.00s:  you
210.00s:  you
240.00s:  you
270.00s:  you
300.00s:  you
330.00s:  you
360.00s:  you
390.00s:  you
420.00s:  you
450.00s:  you
480.00s:  you
510.00s:  you
512.00s:  you
540.00s:  you
542.00s:  you
570.00s:  you
572.00s:  you
600.00s:  you
630.00s:  you
632.00s:  you
660.00s:  you
691.00s:  you
692.00s:  you
693.00s:  all
694.00s:  in
695.00s:  and
697.00s:  in
698.00s:  and
701.00s:  in
703.00s:  and
705.00s:  the
706.00s:  and
707.00s:  in
708.00s:  and
709.00s:  the
710.00s:  and
711.00s:  the
713.00s:  the
714.00s:  the
715.00s:  the
716.00s:  and
717.00s:  the
718.00s:  the
719.00s:  Okay.
720.00s:  Um, I think that's it from like a performance perspective.
725.60s:  If you guys have any questions, obviously, feel free to let me know.
728.48s:  But the, yeah, the main stuff was, I was looking through my notes and trading activity did
734.18s:  tick up a little bit.
735.44s:  So total number of transactions did grow a little bit.
739.04s:  It doesn't really surprise me to be honest with you just because of the earnings season
742.88s:  and stuff like that.
743.88s:  And then I'm also trading more index of all.
747.64s:  I mean, it's just kind of business as usual as you can tell.
749.80s:  It's not like some crazy cool return, right?
754.60s:  It's very, very inside.
757.20s:  But I pride myself in the consistency of returns.
761.60s:  And that's really what will probably take me through the rest of the year because
767.72s:  honestly, to be up 20% within the first two months, like that's pretty strong.
774.32s:  And I think a big reason for that really came from this last earning cycle.
780.24s:  And then this pop in volatility from the broader market conditions have led to volatility
785.76s:  trading really recapturing a pretty meaningful part of the percent return of the portfolio
790.92s:  and a relatively short term timeframe.
792.76s:  Because normally it takes a little longer for me to see the returns to pipe up like they did.
798.96s:  So that's really where things sit as of today.
805.00s:  I know not really, not really anything to crazy or fun, but you know,
814.88s:  gets the job done, I suppose.
817.72s:  I don't know how I look at it at least.
820.80s:  So yeah, if you guys have any, uh, any follow on questions, feel free to let me know.
826.72s:  And then let me take a look at the last thing.
829.20s:  Oh, yeah, I realized one of these is mislabeled.
831.24s:  This one says speculative coverage strangle and that shouldn't be that.
835.28s:  That should be speculative zero DT.
839.28s:  And it's really speculative SPX more than anything because I've opened it.
844.24s:  I've opened up that bucket a little bit.
846.92s:  It's not just, um, it's definitely not just zero DTs anymore.
852.12s:  Actually, most of what I'm trading right now for index fall is not zero DTs.
855.88s:  It still is zero DTs most days, but it's mostly a mix of, a mix of things.
865.52s:  So yeah, I think, I think that about sums us up.
875.32s:  Any, anything else that you guys want to hit on that?
878.52s:  Tommy says you still positive deltas, um, sort of.
883.84s:  I mean, net long, but I have a whole lot of short satellite positions for sure.
892.36s:  So yeah, it's kind of a little bit of a mix there, I would say.
900.44s:  Yeah.
901.36s:  So general, yes, but not, not total like it's not just sitting at long deltas.
910.68s:  It's definitely a pretty healthy mix of things as things are right now.
916.24s:  And really the big reason for that is because we can see a lot of opportunity right now,
927.24s:  as far as I'm concerned at least from trading things through these broad directional shifts.
937.60s:  Because here's a common thing that'll happen during periods like this.
943.12s:  We will see a lot of opportunities emerge that do not remain super strong.
951.08s:  And a big reason for that is because the markets will have this like really, really ugly kind of crash down phase to it.
960.20s:  But then they typically will recapture.
962.96s:  So when that happens, we have to obviously wait and see when that eventually comes to fruition.
969.92s:  But I think while it's happening like these kinds of moves, you can make a lot of money on these kinds of moves,
978.60s:  which is exactly, you know, the idea for trading things.
981.76s:  When I'm trading stuff from a short term trading perspective, and I think I've told you guys this before,
987.20s:  because at least to me, it's a fairly important note is that when things crash down like this,
998.88s:  I am very, very interested in trying to participate as much as I possibly can before things slow down too much.
1011.52s:  And they will almost always, always, always slow down.
1017.08s:  Now how quick that comes today, we actually got a little bit of a continuation note, which I mean,
1023.36s:  I honestly think is fairly fortunate.
1025.84s:  And a big reason for that obviously is from the Trump tariffs, which actually there was a clip that I wanted to show you guys that reminds me,
1034.32s:  let me find it really fast. What's green in my own?
1037.96s:  I want to play this clip for you.
1042.00s:  It was on the Trump tariffs.
1049.00s:  Is this it?
1053.56s:  This one.
1060.08s:  So I got to turn the volume off and then I'll turn close captions on.
1064.68s:  And then this is only like a couple minutes. So we'll watch this together real fast.
1071.00s:  So I'm going to start with the first one.
1073.00s:  I'm going to start with the first one.
1075.00s:  I'm going to start with the first one.
1077.00s:  I'm going to start with the first one.
1079.00s:  I'm going to start with the first one.
